repeat,seed,model,split,n_train,n_valid,n_test,train_scaffolds,valid_scaffolds,test_scaffolds,r2,rmse,mae
2,37,Weighted_Ensemble_scaffold,test,2938,592,670,1684,362,362,0.6906580924987793,0.6642468364900109,0.4945594072341919
2,37,XGB_baseline_scaffold,valid,2938,592,670,1684,362,362,0.6168991327285767,0.7366825940350756,0.5578727722167969
2,37,XGB_baseline_scaffold,test,2938,592,670,1684,362,362,0.6097272634506226,0.7460951879996777,0.556850016117096
3,51,XGB_rich_scaffold,valid,2899,706,595,1684,362,362,0.7111333608627319,0.6502176690605296,0.4914788603782654
3,51,XGB_rich_scaffold,test,2899,706,595,1684,362,362,0.6685798168182373,0.6689765867176183,0.524408221244812
3,51,CatBoost_rich_scaffold,valid,2899,706,595,1684,362,362,0.6868163808064766,0.6770325642191709,0.5178902084358479
3,51,CatBoost_rich_scaffold,test,2899,706,595,1684,362,362,0.6590595333850948,0.6785170128130846,0.5306022179537424
3,51,PyTorch_MLP_rich_scaffold,valid,2899,706,595,1684,362,362,0.699708104133606,0.6629516960070562,0.512329638004303
3,51,PyTorch_MLP_rich_scaffold,test,2899,706,595,1684,362,362,0.6671911478042603,0.6703766371980671,0.5179314613342285
3,51,Weighted_Ensemble_scaffold,valid,2899,706,595,1684,362,362,0.7319259643554688,0.6263793982185999,0.4786401689052582
3,51,Weighted_Ensemble_scaffold,test,2899,706,595,1684,362,362,0.6954615116119385,0.6412724270533176,0.497275173664093
3,51,XGB_baseline_scaffold,valid,2899,706,595,1684,362,362,0.6570534706115723,0.7084729580614791,0.5297157168388367
3,51,XGB_baseline_scaffold,test,2899,706,595,1684,362,362,0.6237374544143677,0.7127987737140961,0.5443400144577026
4,65,XGB_rich_scaffold,valid,2999,637,564,1684,362,362,0.708266019821167,0.6907409225458325,0.5169329047203064
4,65,XGB_rich_scaffold,test,2999,637,564,1684,362,362,0.6849023699760437,0.6531475848075824,0.504098653793335
4,65,CatBoost_rich_scaffold,valid,2999,637,564,1684,362,362,0.6836559158432214,0.719285893811518,0.5503946613429318
4,65,CatBoost_rich_scaffold,test,2999,637,564,1684,362,362,0.6806713248681551,0.6575180864132427,0.5031630005307092
4,65,PyTorch_MLP_rich_scaffold,valid,2999,637,564,1684,362,362,0.7000522017478943,0.7003973931295637,0.5258179903030396
4,65,PyTorch_MLP_rich_scaffold,test,2999,637,564,1684,362,362,0.6951034069061279,0.6424880037041292,0.5012478828430176
4,65,Weighted_Ensemble_scaffold,valid,2999,637,564,1684,362,362,0.7243747711181641,0.6713996802726123,0.5048666000366211
4,65,Weighted_Ensemble_scaffold,test,2999,637,564,1684,362,362,0.7112319469451904,0.625263826000023,0.48295971751213074
4,65,XGB_baseline_scaffold,valid,2999,637,564,1684,362,362,0.6738598942756653,0.7303378145909455,0.5512017011642456
4,65,XGB_baseline_scaffold,test,2999,637,564,1684,362,362,0.6589796543121338,0.6794834269073733,0.5201040506362915
